prolificPID,recID,questionNumber,response,created_at
6139d11e12004b36e50206d1,5,1,true,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,5,2,2,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,5,3,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,5,4,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,5,5,2,2023-06-08T12:33:56Z
59bda1adab8d830001fe5e4b,0,1,true,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,0,2,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,0,3,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,0,4,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,0,5,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,1,1,false,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,1,2,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,1,3,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,1,4,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,1,5,2,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,2,1,true,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,2,2,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,2,3,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,2,4,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,2,5,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,3,1,false,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,3,2,2,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,3,3,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,3,4,2,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,3,5,2,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,4,1,true,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,4,2,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,4,3,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,4,4,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,4,5,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,5,1,false,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,5,2,2,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,5,3,3,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,5,4,4,2023-06-13T20:12:56Z
59bda1adab8d830001fe5e4b,5,5,3,2023-06-13T20:12:56Z
6141566319dbb6998ac9cb21,0,1,true,2023-06-13T20:13:54Z
6141566319dbb6998ac9cb21,0,2,4,2023-06-13T20:13:54Z
6141566319dbb6998ac9cb21,0,3,4,2023-06-13T20:13:54Z
6141566319dbb6998ac9cb21,0,4,4,2023-06-13T20:13:54Z
6141566319dbb6998ac9cb21,0,5,4,2023-06-13T20:13:54Z
6141566319dbb6998ac9cb21,1,1,true,2023-06-13T20:13:54Z
6141566319dbb6998ac9cb21,1,2,5,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,1,3,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,1,4,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,1,5,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,2,1,true,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,2,2,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,2,3,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,2,4,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,2,5,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,3,1,true,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,3,2,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,3,3,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,3,4,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,3,5,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,4,1,true,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,4,2,2,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,4,3,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,4,4,4,2023-06-13T20:13:55Z
6141566319dbb6998ac9cb21,4,5,4,2023-06-13T20:13:55Z
